"","SRR3162129","SRR3162132","SRR3162135","SRR3162138","SRR3162144","SRR3162150","SRR3162157","SRR3162158","SRR3162164","SRR3162169","SRR3162171","SRR3162183","SRR3162200","SRR3162201","SRR3162206","SRR3162174","SRR3162175","SRR3162176","SRR3162209","SRR3162210","SRR3162213","SRR3162214","SRR3162215","SRR3162219","SRR3162221","SRR3162223","SRR3162224","SRR3162228","SRR3162229","SRR3162230","SRR3162232","SRR3162237","SRR3162243","SRR3162245","SRR3162246","SRR3162250","SRR3162252","SRR3162255","SRR3162258","SRR3162261","SRR3162262","SRR3162265","SRR3162266","SRR3162267","SRR3162177","SRR3162178","SRR3162180","SRR3162181","SRR3162189","SRR3162268","SRR3162279","SRR3162286","SRR3162299","SRR3162301","SRR3162311","SRR3162334","SRR3162335","SRR3162342","SRR3162346","SRR3162348","SRR3162351","SRR3162355","SRR3162357","SRR3162367","SRR3162368","SRR3162313","SRR3162370","SRR3162371","SRR3162379","SRR3162380","SRR3162382","SRR3162314","SRR3162385","SRR3162386","SRR3162390","SRR3162391","SRR3162393","SRR3162315","SRR3162317","SRR3162318","SRR3162320","SRR3162321","SRR3162322","SRR3162324","SRR3162338"
"10:100260218-100262063",0,3.66413444220003,0,6.27835542964176,3.39740519455014,4.92864057745637,0.953104187932675,0,0,4.00350599987699,2.11730904876384,4.23822366654726,0,0,0,0,0,3.15161342012384,2.31611944208415,1.21847592862601,2.4739049578086,0,0,1.13159984403194,5.15495341124185,0,2.92318519150747,2.31945678315336,0,0,2.77721399577323,0,0,0,1.90580129056372,0,4.24704061997261,0,2.11860325347264,0,5.60355081812402,1.73567719257315,1.08818664189952,0.670925158756106,1.29471677161816,0,0,0,0.993616895538692,0,2.24254350982403,1.93295313627453,2.3518785874133,0,0.885489754275086,0,2.97988785571394,0,1.64299009420212,6.66428517132618,1.54129936122599,0,2.55384708997131,2.1863766823003,0,3.24623038510451,5.31837556588393,1.26479570638572,2.71675000099775,4.25574482367219,0,0,0,2.65736416430294,0,3.16699781240239,0,6.99761376525607,0,4.848712991481,1.26147637702945,0,0,1.88668938266548,3.04553727034853
"10:100923975-100926019",28.2808042037025,26.3817679838402,7.61748218489068,37.6701325778506,18.6857285700258,27.10752317601,28.1165735440139,8.74940481169485,35.4069030578663,19.1278619994123,17.7853960096162,28.9611950547396,0,44.5783890634408,19.2798407498352,6.60855131024421,26.97065665465,23.6371006509288,27.7934333050098,30.4618982156502,11.5448898031068,0,35.7259742596182,22.6319968806389,24.9156081543356,0,25.7240296852658,22.0348394399569,23.9822709305724,34.8544660966162,22.2177119661859,35.9754056271835,27.4370247344111,37.7626808904674,22.8696154867646,44.0297216384314,15.5724822732329,15.4879012435486,28.6011439218806,14.0826591453365,14.0088770453101,16.4889333294449,12.8768752624776,18.785904445171,25.2469770465542,29.6503602358311,17.1752094110284,23.4548633553155,19.8723379107738,15.0939282443701,20.1828915884163,10.3090833934641,20.3829477575819,26.0124663739961,27.0074375053901,22.1657004910398,26.8189907014255,21.9808165091796,20.5373761775265,16.6607129283154,14.7964738677695,17.6885631215411,17.5364166844697,18.5842017995525,11.5933508627356,23.3728587727524,18.4097615742136,13.4911542014477,26.7793928669778,17.0229792946888,23.942435683031,38.0947261969614,28.4616389161255,21.9232543554992,6.39523405752554,24.0691833742581,30.9644610406286,10.4964206478841,36.4592979109795,18.9099806667759,14.7172243986769,7.54700401955387,20.4055453518641,18.4895559501217,10.6593804462199
"10:100937402-100944128",4.71346736728374,1.46565377688001,0,8.37114057285569,5.09610779182521,0,1.42965628189901,0,6.85294897894187,3.55867199989066,3.38769447802214,2.82548244436484,0,5.43638891017571,0,0,7.44018114611035,4.72742013018577,3.0881592561122,5.48314167881704,4.9478099156172,0,5.10371060851688,3.39479953209583,6.44369176405231,7.53912240411017,5.84637038301495,2.8993209789417,4.2321654583363,6.33717565393021,0,3.67095975787587,0,0,1.90580129056372,0,2.83136041331507,10.3252674956991,5.2965081336816,0,2.80177540906201,3.4713543851463,4.53411100791465,3.01916321440248,0,1.89257618526581,1.37401675288227,2.13226030502868,4.47127602992411,9.05635694662208,1.49502900654935,9.02044796928112,13.327311995342,1.85803331242829,5.75568340278806,3.6942834151733,5.21480374749939,0,3.28598018840424,0,4.00737833918758,0,5.9589765432664,5.19264462046321,5.52064326796933,3.89547646212541,4.90926975312362,1.26479570638572,7.76214285999357,6.38361723550828,1.84172582177161,2.78741899002157,8.37107026944869,1.9930231232272,7.67428086903064,3.16699781240239,8.2571896108343,0,0,6.3033268889253,4.6254133824413,0,10.202772675932,4.90539239493024,10.6593804462199
"10:100937402-100950753",0,1.46565377688001,0,0,3.39740519455014,0,1.90620837586535,0,0,1.77933599994533,1.69384723901107,0,0,0,0,1.01670020157603,0,2.36371006509288,2.31611944208415,2.43695185725202,0,0,0,1.69739976604792,3.43663560749457,7.53912240411017,1.16927407660299,1.15972839157668,2.82144363889087,0,2.77721399577323,0,0,0,3.81160258112743,0,4.24704061997261,0,0,0,0,1.73567719257315,3.26455992569855,2.34823805564637,1.94207515742725,3.78515237053162,0,0,0.993616895538692,0,0,2.57727084836603,0,0.929016656214146,0,5.54142512275995,0,0,5.75046532970743,6.66428517132618,2.77433885020679,0,2.72410356263607,1.09318834115015,0,3.24623038510451,1.22731743828091,0,3.10485714399743,2.12787241183609,1.84172582177161,1.85827932668105,0,1.66085260268934,0,4.43379693736334,1.37619826847238,0,0,0,2.52295275405889,0,0,1.50935150613238,0
"10:101667886-101676436",30.6375378873443,24.1832873185202,15.2349643697814,14.6494960024974,16.9870259727507,29.5718434647382,49.5614177724991,34.9976192467794,14.8480561210407,13.34501999959,30.0657884924465,27.5484538325572,18.0351147193001,25.0073889868083,33.051155571146,12.7087525197004,21.3905207950672,37.0314576864552,18.5289555366732,49.9575130736664,22.2651446202774,11.0066402459592,17.8629871298091,25.4609964907188,31.7888793693247,11.3086836061653,28.0625778384717,44.6495430757022,22.571549111127,28.517290442686,23.6063189640725,52.8618205134125,21.3399081267642,59.0041888913554,26.681218067892,22.0148608192157,21.2352030998631,18.0692181174734,32.8383504288259,4.69421971511216,27.0838289542661,22.563803503451,26.4792082862216,16.4376663895246,20.7154683458906,34.6972300632066,55.6476784917321,10.6613015251434,24.3436139406979,27.1690708398663,21.6779205949656,25.7727084836603,25.8706644615463,45.0573078263861,27.0074375053901,24.0128421986265,29.0539065932109,7.3269388363932,34.5027919782446,33.3214258566309,26.2020891408419,26.5328446823116,26.2194967903722,51.9264462046321,23.1867017254712,20.7758744646688,37.6377347739478,71.6717566951908,42.6917857299646,38.3017034130497,22.7146184685166,32.5198882169183,25.1132108083461,42.1856561083091,54.9990128947196,25.9693820616996,36.4692541145182,45.4844894741644,25.7359749959855,37.8199613335518,51.7205314582073,15.0940080391077,30.6083180277961,27.1683271103829,25.8870667979625
"10:101672915-101676436",0,2.93130755376003,7.61748218489068,0,5.09610779182521,4.92864057745637,9.05448978536041,0,0,4.00350599987699,8.04577438530258,5.65096488872968,18.0351147193001,7.61094447424599,13.7713148213108,2.54175050394008,10.2302490759017,7.09113019527865,3.86019907014024,10.9662833576341,3.2985399437448,11.0066402459592,5.10371060851688,3.96059945411181,8.1620095677996,11.3086836061653,8.18491853622093,18.5556542652269,4.2321654583363,5.28097971160851,8.3316419873197,8.81030341890209,3.04855830382345,11.8008377782711,6.67030451697301,0,4.24704061997261,5.16263374784955,6.35580976041792,6.25895962014955,6.53747595447803,4.33919298143288,3.08319548538196,5.70286384942691,3.23679192904541,6.30858728421937,8.24410051729365,0,5.4648929254628,12.0751425954961,4.48508701964806,5.15454169673207,7.05563576223989,6.03860826539195,5.31293852565052,0,8.93966356714182,3.6634694181966,4.92897028260637,9.99642775698926,7.70649680612997,0,7.83179774257869,9.83869507035134,11.0412865359387,6.49246077020901,15.1369150721312,28.2471041092811,17.4648214349855,18.4415609025795,7.98081189434366,6.50397764338366,5.02264216166921,7.97209249290881,8.95332768053575,6.96739518728525,15.1381809531962,0,6.43399374899639,4.3638416923329,16.8196850270593,7.54700401955387,0,10.5654605429267,6.09107454069707
"10:101792839-101810314",11.7836684182094,9.52674954972009,10.1566429131876,18.8350662889253,23.781836361851,4.92864057745637,6.19517722156238,30.622916840932,13.7058979578837,11.5656839996446,8.89269800480811,10.5955591663681,18.0351147193001,29.3565001149488,19.2798407498352,4.57515090709214,7.44018114611035,16.5459704556502,10.8085573963927,7.92009353606906,11.5448898031068,11.0066402459592,20.4148424340675,15.2765978944313,16.753598586536,0,12.2773778043314,17.9757900694385,28.2144363889087,20.0677229041123,22.2177119661859,16.1522229346538,16.767070671029,47.2033511130843,15.2464103245097,44.0297216384314,18.403842686548,15.4879012435486,10.5930162673632,10.9531793352617,19.6124278634341,11.2819017517255,7.7986709336132,11.7411902782319,10.3577341729453,14.5097507537046,11.6791423994993,19.9010961802677,21.8595717018512,15.0939282443701,15.6978045687682,7.7318125450981,11.7593929370665,7.89664157782024,13.2823463141263,24.0128421986265,15.6444112424982,9.1586735454915,24.6448514130318,9.99642775698926,11.4056152730724,0,12.9394919225213,4.09945627931306,11.5933508627356,11.0371833093553,7.77301044244574,2.1079928439762,6.20971428799486,17.7322700986341,23.942435683031,52.9609608104098,35.1584951316845,14.2833323831283,12.7904681150511,19.0019868744143,25.4596679667391,24.4916481783962,17.1573166639904,6.7881981880734,18.5016535297652,7.54700401955387,15.3041590138981,11.3201362959929,12.1821490813941
"10:101792839-101813606",7.07020105092561,2.19848066532002,7.61748218489068,4.18557028642784,0,0,1.90620837586535,0,0,3.11383799990432,2.96423266826937,1.41274122218242,0,4.34911112814057,8.2627888927865,1.52505030236405,0,1.57580671006192,0,3.04618982156502,5.7724449015534,0,15.3111318255506,1.69739976604792,1.71831780374728,0,2.33854815320598,1.73959258736502,5.64288727778174,0,0,1.46838390315035,0,11.8008377782711,3.81160258112743,29.3531477589542,2.83136041331507,5.16263374784955,4.23720650694528,0,5.60355081812402,3.4713543851463,3.08319548538196,2.01277547626832,1.94207515742725,2.52343491368775,4.12205025864682,2.84301374003824,2.48404223884673,0,1.49502900654935,0,0,2.32254164053537,1.77097950855017,7.3885668303466,6.70474767535636,3.6634694181966,4.92897028260637,0,1.54129936122599,0,1.36205178131803,0.819891255862611,0,2.59698430808361,1.63642325104121,1.26479570638572,1.55242857199871,3.54645401972682,3.68345164354323,8.3622569700647,6.69685621555895,2.65736416430294,3.83714043451532,3.80039737488287,4.12859480541715,10.4964206478841,0,2.9092277948886,2.52295275405889,0,0,2.26402725919857,0
"10:101939863-101957732",0,3.66413444220003,5.07832145659379,4.18557028642784,3.39740519455014,0,2.85931256379802,0,5.71079081578489,6.67250999979498,3.38769447802214,4.94459427763847,0,0,0,7.62525151182024,3.72009057305517,7.87903355030961,0,3.04618982156502,2.4739049578086,16.5099603689389,0,4.52639937612778,8.1620095677996,0,3.50782222980897,4.05904937051838,2.82144363889087,0,4.16582099365985,0,0,4.72033511130843,2.85870193584557,0,5.66272082663015,10.3252674956991,3.70755569357712,4.69421971511216,2.80177540906201,3.4713543851463,2.35773772411562,4.36101353191469,7.12094224389991,1.89257618526581,0,2.13226030502868,3.47765913438542,0,2.24254350982403,3.22158856045754,4.7037571748266,2.32254164053537,0.885489754275086,0,4.46983178357091,0,4.92897028260637,0,4.93215795592318,0,3.91589887128935,3.00626793816291,5.52064326796933,3.24623038510451,4.50016394036332,10.9615627886762,2.71675000099775,3.54645401972682,3.68345164354323,3.71655865336209,10.0452843233384,2.65736416430294,2.55809362301021,1.90019868744143,2.06429740270858,0,0,2.9092277948886,4.6254133824413,4.52820241173232,0,2.26402725919857,4.5683059055228
"10:102023477-102025248",0,2.19848066532002,7.61748218489068,0,0,0,1.90620837586535,0,0,1.77933599994533,3.38769447802214,0,0,2.17455556407028,0,0,0,1.57580671006192,0,1.82771389293901,0,0,0,0,3.00705615655775,0,1.75391111490448,0,0,0,2.77721399577323,0,0,0,0,0,2.83136041331507,0,2.11860325347264,0,1.86785027270801,0,0.362728880633172,1.67731289689027,0,0,0,0,0,0,2.24254350982403,2.57727084836603,0,0.929016656214146,0.885489754275086,3.6942834151733,2.97988785571394,0,0,0,2.15781910571639,0,1.02153883598853,0,1.10412865359387,3.24623038510451,0,1.26479570638572,0,0,0,0,5.02264216166921,0.664341041075734,2.55809362301021,1.26679912496096,2.06429740270858,0,0,0,0,0,0,2.64136513573167,0
